,name,dataset,algorithm,accuracy,time,time-per-pattern,clique-precision,clique-recall,bipartite core-precision,bipartite core-recall,star-precision,star-recall,chain-precision,chain-recall,none-precision,none-recall
66,2-1661935567051,synthetic-3-94-3,MinLA,0.6724137931034483,23994,7998.0,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,1.0,0.8571428571428571,0.0,0.0
67,6-1662003410816,synthetic-3-94-3,MinLA,0.6724137931034483,32291,8072.75,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.8333333333333334,0.5,1.0,0.06666666666666667
68,10-1662013153023,synthetic-3-94-3,MinLA,0.6724137931034483,19359,6453.0,1.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.8333333333333334,1.0,1.0,0.05
69,4-1662000612817,synthetic-3-94-3,MinLA,0.6551724137931034,23085,5771.25,1.0,1.0,0.0,0.0,0.7142857142857143,1.0,0.8333333333333334,0.5,1.0,0.0625
70,8-1662009390411,synthetic-3-94-3,MinLA,0.6724137931034483,17100,4275.0,1.0,0.6136363636363636,0.0,0.0,0.8571428571428571,1.0,0.8333333333333334,1.0,1.0,0.3333333333333333
71,7-1662008650057,synthetic-3-94-3,MinLA,0.7413793103448276,82731,13788.5,1.0,1.0,0.23529411764705882,1.0,0.8571428571428571,1.0,0.8333333333333334,0.5,1.0,0.09090909090909091
72,12-1662090291751,synthetic-3-94-3,MinLA,0.6896551724137931,23858,7952.666666666667,1.0,1.0,0.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.05263157894736842
73,13-1662121289542,synthetic-3-94-3,MinLA,0.6724137931034483,93022,23255.5,1.0,0.6136363636363636,0.0,0.0,0.8571428571428571,1.0,1.0,0.8571428571428571,0.0,0.0
74,14-1662122943293,synthetic-3-94-3,MinLA,0.6724137931034483,40326,10081.5,1.0,0.6136363636363636,0.0,0.0,0.8571428571428571,1.0,0.8333333333333334,1.0,1.0,0.3333333333333333
75,1-1661934866373,synthetic-6-96-4,Ours (RDM),1.0,51832,12958.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,3-1661999533002,synthetic-6-96-4,Ours (RDM),0.9482758620689655,45024,11256.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,0.5714285714285714
77,5-1662002195049,synthetic-6-96-4,Ours (RDM),0.9655172413793104,73033,18258.25,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.6666666666666666
78,9-1662010258606,synthetic-6-96-4,Ours (RDM),0.9482758620689655,29610,7402.5,1.0,1.0,0.9285714285714286,1.0,0.75,1.0,1.0,1.0,1.0,0.5714285714285714
79,0-1661933688574,synthetic-6-96-4,Ours (RDM),0.7931034482758621,58407,11681.4,1.0,1.0,0.5714285714285714,1.0,0.625,1.0,0.5,1.0,1.0,0.25
80,11-1662013922332,synthetic-6-96-4,Ours (RDM),0.9137931034482759,22140,5535.0,1.0,1.0,0.9285714285714286,1.0,0.625,1.0,0.8333333333333334,1.0,1.0,0.4444444444444444
81,2-1661935567051,synthetic-6-96-4,Ours (RDM),0.896551724137931,23717,5929.25,1.0,1.0,1.0,1.0,0.625,1.0,0.5,1.0,1.0,0.4
82,6-1662003410816,synthetic-6-96-4,Ours (RDM),0.7931034482758621,56640,11328.0,0.8076923076923077,1.0,0.9285714285714286,1.0,0.625,0.5,0.5,1.0,1.0,0.36363636363636365
83,10-1662013153023,synthetic-6-96-4,Ours (RDM),0.896551724137931,58748,14687.0,1.0,1.0,1.0,1.0,0.625,1.0,0.5,1.0,1.0,0.4
84,4-1662000612817,synthetic-6-96-4,Ours (RDM),0.46551724137931033,24171,8057.0,0.5769230769230769,1.0,0.0,0.0,0.625,1.0,0.5,1.0,1.0,0.11428571428571428
85,8-1662009390411,synthetic-6-96-4,Ours (RDM),0.9310344827586207,19392,3878.4,1.0,1.0,1.0,1.0,0.625,1.0,0.8333333333333334,1.0,1.0,0.5
86,7-1662008650057,synthetic-6-96-4,Ours (RDM),0.5172413793103449,26059,8686.333333333334,0.8076923076923077,1.0,0.0,0.0,0.625,0.5,0.0,0.0,1.0,0.14814814814814814
87,12-1662090291751,synthetic-6-96-4,Ours (RDM),0.9310344827586207,30643,6128.6,1.0,1.0,0.9285714285714286,1.0,0.75,1.0,0.8333333333333334,1.0,1.0,0.5
88,13-1662121289542,synthetic-6-96-4,Ours (RDM),0.9655172413793104,20609,5152.25,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.6666666666666666
